순번,년도,모델명,제조사,유종,배기량,복합연비,등급,평균주행거리(km),전비(km/kWh),에너지단가(원/kWh),1년 유지비(원)
202,2020,CHEVROLET BOLT EV,한국지엠,전기,0.0,5.5,고속,15000,5.5,255.7,697363.6363636364
203,2020,EV SAVER(파워테크닉스 세이버 KNCSZ76ADK803665),파워테크닉스,전기,0.0,1.6,고속,15000,1.6,255.7,2397187.5
204,2020,포터일렉트릭,현대,전기,0.0,3.1,고속,15000,3.1,255.7,1237258.064516129
205,2020,CEVO-C SE,(주)캠시스,전기,0.0,6.3,고속,15000,6.3,255.7,608809.5238095238
206,2020,아이오닉 전기차 (18MY),현대,전기,0.0,6.3,고속,15000,6.3,255.7,608809.5238095238
207,2020,코나 전기자동차 (도심형),현대,전기,0.0,5.8,고속,15000,5.6,255.7,684910.7142857143
208,2020,Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,0.0,5.8,고속,15000,5.1,255.7,752058.8235294118
209,2020,Model S Performance,테슬라코리아 유한회사,전기,0.0,4.2,고속,15000,4.6,255.7,833804.3478260869
210,2020,다니고3픽업(DANIGO 3 PICK UP),(주)대창모터스,전기,0.0,6.1,고속,15000,6.1,255.7,628770.4918032787
211,2020,e-tron 55 uattro,아우디,전기,0.0,3.0,고속,15000,3.0,255.7,1278500.0
212,2020,LEAF,닛산,전기,0.0,5.1,고속,15000,5.1,255.7,752058.8235294118
213,2020,Model X Performance,테슬라코리아 유한회사,전기,0.0,3.7,고속,15000,3.7,255.7,1036621.6216216215
214,2020,LSEV,코리아에어카고,전기,0.0,4.4,고속,15000,4.4,255.7,871704.5454545454
215,2020,TWIZY Urban(2인승),르노삼성,전기,0.0,7.9,고속,15000,7.9,255.7,485506.329113924
216,2020,Change,AD모터스,전기,0.0,4.3,저속,15000,4.3,255.7,891976.7441860465
217,2020,"쏘울 전기차(기본형, 64kWh)",기아,전기,0.0,5.4,고속,15000,5.4,255.7,710277.7777777776
218,2020,포트로(HMT-101),(주)디피코,전기,0.0,3.8,고속,15000,3.8,255.7,1009342.1052631579
219,2021,e-tron GT uattro,아우디,전기,0.0,3.7,고속(전기),15000,3.7,309.1,1253108.1081081082
220,2020,벤츠 EQC 400 4MATIC,벤츠,전기,0.0,3.2,고속,15000,3.2,255.7,1198593.75
221,2021,Mercedes-Benz EQS450 +,벤츠,전기,0.0,3.8,고속(전기),15000,3.8,309.1,1220131.5789473685
222,2021,BMW i4 M50,BMW,전기,0.0,4.1,고속(전기),15000,4.8,309.1,965937.5000000001
223,2021,GV60 4WD 19인치,현대,전기,0.0,4.5,고속(전기),15000,4.9,309.1,946224.4897959183
224,2021,타이칸 터보 S,포르쉐,전기,0.0,2.8,고속(전기),15000,2.8,309.1,1655892.8571428575
225,2021,EV6 항속형 4WD 19인치,기아,전기,0.0,5.0,고속(전기),15000,5.3,309.1,874811.3207547171
226,2021,GV60 RWD 19인치,현대,전기,0.0,5.1,고속(전기),15000,4.9,309.1,946224.4897959183
227,2021,e-tron 55 uattro,아우디,전기,0.0,3.0,고속(전기),15000,3.0,309.1,1545500.0
228,2021,Model 3 Standard Range Plus RWD,테슬라코리아 유한회사,전기,0.0,5.8,고속(전기),15000,5.1,309.1,909117.6470588237
229,2021,Model 3 Performance,테슬라코리아 유한회사,전기,0.0,4.7,고속(전기),15000,5.1,309.1,909117.6470588237
230,2021,Model X Long Range,테슬라코리아 유한회사,전기,0.0,3.9,고속(전기),15000,3.9,309.1,1188846.153846154
231,2021,GV60 4WD 무선충전,현대,전기,0.0,4.1,고속(전기),15000,4.9,309.1,946224.4897959183
232,2021,플러스2.0(카고),(주) 한신자동차,전기,0.0,2.5,고속(전기),15000,2.5,309.1,1854600.0000000002
233,2021,CHEVROLET BOLT EV,한국지엠,전기,0.0,5.5,고속(전기),15000,5.5,309.1,843000.0000000001
234,2021,타이칸 4S (5인승),포르쉐,전기,0.0,3.0,고속(전기),15000,3.0,309.1,1545500.0
235,2021,e-tron Sportback 55 uattro,아우디,전기,0.0,3.1,고속(전기),15000,3.1,309.1,1495645.1612903227
236,2021,아이오닉5 항속형 RWD 20인치,현대,전기,0.0,4.9,고속(전기),15000,5.1,309.1,909117.6470588237
237,2021,GV60 성능형 4WD 무선충전,현대,전기,0.0,3.9,고속(전기),15000,4.9,309.1,946224.4897959183
