년도,모델명,제조사,유종,배기량,복합연비,등급,CO2 배출량,평균주행거리(km),경유 단가(원/L),1년 유지비(원)
2022,Citroen Grand C4 SPACETOURER 1.5 BlueHDi,PSA Automobiles,경유,1499,14.5,2등급,130,15000,"1,474.20","1,525,034"
2022,"코나 1.6디젤 4WD (17"" 타이어)",현대,경유,1598,15.3,2등급,123,15000,"1,474.20","1,445,294"
2022,G70(IK PE)  2.2디젤 AWD_18/19인치타이어,현대,경유,2199,13.1,3등급,146,15000,"1,474.20","1,688,015"
2022,BMW 620d,BMW,경유,1995,13.4,3등급,142,15000,"1,474.20","1,650,223"
2022,BMW 320d Touring,BMW,경유,1995,14.2,2등급,134,15000,"1,474.20","1,557,253"
2022,쏘렌토 2.2디젤 2WD 5인 18인치타이어,기아,경유,2151,14.3,2등급,133,15000,"1,474.20","1,546,363"
2022,"팰리세이드 2.2디젤 AWD 7인(18""타이어)",현대,경유,2199,11.8,3등급,163,15000,"1,474.20","1,873,983"
2022,싼타페 2.0 디젤 AWD 7인 (18'' 타이어),현대,경유,1995,12.3,3등급,156,15000,"1,474.20","1,797,804"
2022,쏘렌토 2.2디젤 2WD 6인 18인치타이어 (빌트인캠)(22),기아,경유,2151,14,2등급,135,15000,"1,474.20","1,579,500"
2022,Peugeot 3008 GT 2.0 BlueHDi,PSA Automobiles,경유,1997,12.9,3등급,148,15000,"1,474.20","1,714,186"
2022,쏘렌토 2.2디젤 4WD 6인 20인치타이어(22),기아,경유,2151,12.8,3등급,150,15000,"1,474.20","1,727,578"
2022,봉고 1톤 일반덤프 4X4장축 킹캡(MT)(22),기아,경유,2497,8.7,5등급,225,15000,"1,474.20","2,541,724"
2022,E220 d Coupe,벤츠,경유,1950,14.6,2등급,130,15000,"1,474.20","1,514,589"
2022,카니발 2.2디젤 하이리무진 7인(19인치)(22),기아,경유,2151,11.5,4등급,168,15000,"1,474.20","1,922,869"
2022,BMW 320d Touring,BMW,경유,1995,14,2등급,136,15000,"1,474.20","1,579,500"
2022,BMW 620d,BMW,경유,1995,12.7,3등급,151,15000,"1,474.20","1,741,181"
2022,카니발 2.2디젤 2WD 9인승 (18'' 타이어),기아,경유,2199,11.4,4등급,170,15000,"1,474.20","1,939,736"
2022,봉고 1t 장축 표준캡(유로6) (15),기아,경유,2497,8.9,5등급,220,15000,"1,474.20","2,484,606"
2022,GV80(22MY) 3.0디젤 2WD 6인 20인치 타이어,현대,경유,2996,11.2,4등급,173,15000,"1,474.20","1,974,375"
2022,A7 45 TDI uattro,아우디,경유,2967,12.1,3등급,160,15000,"1,474.20","1,827,520"
2022,BMW M550d xDrive RDE,BMW,경유,2993,10.6,4등급,183,15000,"1,474.20","2,086,132"
2022,C5 Aircross 1.5 BlueHDi_(19inch tire),PSA Automobiles,경유,1499,15.8,2등급,119,15000,"1,474.20","1,399,556"
2022,Peugeot 508SW 1.5 BlueHDi_(18inch tire),PSA Automobiles,경유,1499,17.2,1등급,108,15000,"1,474.20","1,285,639"
2022,BMW X6 xDrive40d,BMW,경유,2993,10.5,4등급,185,15000,"1,474.20","2,106,000"
2022,쏘렌토 2.2디젤 2WD 7인 18인치타이어 (빌트인캠)(22),기아,경유,2151,14,2등급,135,15000,"1,474.20","1,579,500"
2022,MINI Cooper SD Five Door,MINI,경유,1995,15.8,2등급,119,15000,"1,474.20","1,399,556"
2022,G350 d,벤츠,경유,2987,7.7,5등급,258,15000,"1,474.20","2,871,818"
2022,G80 2.2디젤 AWD 18인치타이어,현대,경유,2151,13,3등급,147,15000,"1,474.20","1,701,000"
2022,BMW X4 xDrive30d,BMW,경유,2993,12.3,3등급,157,15000,"1,474.20","1,797,804"
2022,그랜드스타렉스 2.5디젤 리무진 (20MY_6P_N/HR),현대,경유,2497,8.9,5등급,222,15000,"1,474.20","2,484,606"
2022,Mercedes-Benz G400 d,벤츠,경유,2925,8.2,5등급,241,15000,"1,474.20","2,696,707"
2022,BMW 320d,BMW,경유,1995,15,2등급,125,15000,"1,474.20","1,474,200"
2022,"쏘렌토(19MY) 2.2디젤 2WD ISG 7인(18"" 타이어)",기아,경유,2199,13.4,3등급,142,15000,"1,474.20","1,650,223"
2022,Master VAN Ph2 L1H1,르노코리아자동차(주),경유,2299,11,4등급,175,15000,"1,474.20","2,010,272"
2022,GV70 2.2디젤 AWD 21인치,현대,경유,2151,12,3등급,161,15000,"1,474.20","1,842,750"
